"标识","品牌","MPN码","规格","","插件位置","底数","数量","单位","承样状态","创建时间"
"305010033, SMD Transistor NPN 50V-500mA;SOT-323, A.2 (Design)","长电","BC817W","","","Q11","1","1","PCS","已承样","2015/10/31 15:48  CST"
"305030084, SMD MOSFET P-CH 20V-2.1A;SOT-323, A.1 (Design)","长电","CJ2101","","","Q4","1","1","PCS","未承样","2015/10/31 15:51  CST"
"305030659, SMD MOSFET N-CH 20V -630MA ；SOT-523, A.2 (Design)","Diodes","DMG1012T-7","","","Q3 Q7 Q8 Q9 Q10 Q12 Q13 Q14 Q16 Q17 Q18 Q19 Q20 Q26 Q27","1","15","PCS","无需承样","2017/09/28 10:33  CST"
"305031179, SMD MOSFET P-CH 30V-12A;HSMT8, A.2 (Design)","Rohm","RQ3E120ATTB","","","Q15 Q21 Q22","1","3","PCS","无需承样","2020/05/07 11:09  CST"
"305050191, SMD Transistor Array 2PNP 45V-0.1A;SOT36, A.2 (Design)","Diodes Incorporated","BCM857BS-7-F","","","Q23 Q24","1","2","PCS","无需承样","2019/05/10 09:59  CST"
"306010138, SMD Crystal 32.768KHz-12.5pF-20ppm-2P-3.2*1.5*0.9mm, A.3 (Design)","EPSON","FC-135 32.7680KA-A3","(指定品牌)","","Y1 Y8","1","2","PCS","无需承样","2015/10/31 17:02  CST"
"306011192, SMD Crystal 25MHz-18pF-20ppm;4P-SMD-L3.2*W2.5*H0.8mm, A.2 (Design)","Interquip","5YAA25000182TF40Q3","","","Y3","1","1","PCS","无需承样","2021/04/28 14:50  CST"
"306011309, SMD Crystal 24MHz-12pF-20ppm-60R;4P-SMD-L3.2*W2.5*H0.8mm, A.2 (Design)","Interquip","5YAA24000122TF60Q3","","","Y2","1","1","PCS","无需承样","2022/07/19 16:59  CST"
"306011310, SMD Crystal 37.4MHz-16pF-10ppm-40R;4P-SMD-L3.2*W2.5*H0.8mm, A.2 (Design)","Interquip","5YAA37400161TF40Q3","","","Y4","1","1","PCS","无需承样","2022/07/19 17:01  CST"
"306020621, SMD Oscillator;32.768KHz-3.3V-30ppm;SMD-2520-4P-L2.5*W2.0*H0.95mm, A.2 (Design)","Interquip","1651-L3273-BTBQYA","","","OSC1","1","1","PCS","无需承样","2020/06/01 17:10  CST"
"306050630, SMD Feed Through Capacitor(Filters);4.3uF-20%-DC 2.5V-2A-30mOhm;0402, A.2 (Design)","Murata","NFM15PC435R0E3D","","","C1115 C1116 C1117 C1118 C1133 C1134","1","6","PCS","无需承样","2022/07/19 15:49  CST"
"306050631, SMD Feed Through Capacitor(Filters);22nF-20%-DC 10V-1A-40mOhm;0402, A.2 (Design)","Murata","NFM15CC223C1A3D","","","C1151","1","1","PCS","无需承样","2022/07/19 15:54  CST"
"310011577, SMD IC MCU;Quad-core RISC-V 2GHz;FCCSP-921(15*15), A.2 (Design)","T-HEAD","TH1520-C0X-XXXX7","","","U1","1","1","PCS","无需承样","2022/07/19 16:32  CST"
"310030161, SMD IC PMIC;DFN(2*2)-8, B.2 (Design)","ETA","ETA3410D2I-T","","","U6","1","1","PCS","已承样","2015/10/31 16:48  CST"
"310031388, SMD IC PMIC;	 IC VREF SHUNT ADJ;SOT23-3, A.3 (Design)","TI","ATL431AIDBZR","","","U10","1","1","PCS","无需承样","2018/03/09 10:55  CST"
"310031691, SMD IC PMIC;LDO-1.8V-600mA;SOT23-5, A.2 (Design)","Diodes","AP2112K-1.8TRG1","","","U21","1","1","PCS","无需承样","2019/05/29 10:35  CST"
"310032613, SMD IC PMIC;BGA-100(8*8), A.2 (Design)","Dialog","DA9063-ABHO2(T-HEAD烧录固件)","","","U81","1","1","PCS","无需承样","2022/07/19 16:52  CST"
"310032614, SMD IC PMIC;DCDC Buck-ADJ 2.2-V to 5.5-V Input 10-A;24WLCSP, A.2 (Design)","Dialog","DA9121-A2V72(T-HEAD提供）","","","U83","1","1","PCS","无需承样","2022/07/19 16:56  CST"
