SKU,Description,brand,MPN,specification,position,qty,底数,unit
302010232,SMD CAP Ceramic 470nF-10V-10%-X5R;0402,YAGEO,CC0402KRX5R6BB474,,C642 C644,2,1,PCS
302010394,SMD CAP Ceramic 1nF-50V-5%-X7R;0402,YAGEO,CC0402JRX7R9BB102,,C34 C119 C122,3,1,PCS
302010013,SMD CAP Ceramic 220pF-50V-5%-NPO;0402,YAGEO,CC0402JRNPO9BN221,,C118 C120,2,1,PCS
302010012,SMD CAP Ceramic 100pF-50V-5%-NPO;0402,YAGEO,CC0402JRNPO9BN101,,C117 C121,2,1,PCS
302010270,SMD CAP Ceramic;1uF-6.3V-±20%-X5R;0201,YAGEO,CC0201MRX5R5BB105,,C21 C23 C25 C45 C46 C170 C171 C172 C173 C174 C179 C180 C257 C258 C259 C260 C261 C262 C268 C269 C270 C271 C272 C273 C274 C278 C281 C282 C283 C284 C288 C289 C290 C373 C374 C375 C457 C640 C1001 C1002 C1003 C1004 C1005 C1006 C1007 C1011 C1012 C1013 C1014 C1015 C1020 C1021 C1023 C1024 C1028 C1029 C1030 C1031 C1040 C1041 C1042 C1043 C1044 C1045 C1046 C1047 C1048 C1052 C1053 C1055 C1056 C1059 C1060 C1066 C1068 C1069 C1070 C1071 C1072 C1076 C1077 C1083 C1086 C1087 C1091 C1092 C1095 C1097 C1100 C1101 C1103 C1106 C1110 C1111 C1114 C1135 C1136 C1137 C1138 C1141 C1142 C1144 C1147 C1150,104,1,PCS
302012841,SMD CAP Ceramic;220nF-10V-10%-X5R;0201,YAGEO,CC0201KRX5R6BB224,,C641,1,1,PCS
302010271,SMD CAP Ceramic 100nF-10V-10%-X5R;0201,YAGEO,CC0201KRX5R6BB104,,C4 C6 C12 C14 C20 C22 C24 C26 C27 C28 C29 C33 C37 C38 C39 C40 C41 C42 C44 C48 C49 C50 C51 C52 C53 C55 C56 C57 C58 C59 C61 C62 C65 C66 C67 C68 C72 C74 C75 C76 C77 C78 C79 C80 C81 C82 C83 C84 C85 C86 C87 C88 C89 C90 C91 C92 C93 C94 C97 C98 C99 C100 C101 C102 C103 C104 C105 C106 C107 C108 C109 C110 C111 C112 C113 C114 C115 C116 C176 C177 C181 C275 C276 C277 C285 C286 C1008 C1009 C1026 C1027 C1051 C1057 C1062 C1073 C1074 C1084 C1093 C1098 C1109 C1140,100,1,PCS
302011831,SMD CAP Ceramic 10nF-6.3V-10%-X5R;0201,Yageo,CC0201KRX5R5BB103,,C458,1,1,PCS
302010273,SMD CAP Ceramic;22pF-50V-5%-NPO;0201,YAGEO,CC0201JRNPO9BN220,,C9 C15 C31 C32 C333 C336 C634 C639,8,1,PCS
303030024,SMD Ferrite Bead;120R-2A;0603,Murata,BLM18PG121SN1D,,FB1 FB16,2,1,PCS
303030040,SMD Ferrite Bead 120R-1.3A;0402,Murata,BLM15PD121SN1D,,FB2 FB3 FB13 FB15,4,1,PCS
303030859,SMD Ferrite Bead 600R 250mA;0201,Murata,BLM03AX601SN1B,,FB5 FB6 FB7 FB8 FB9 FB10 FB11 FB12,8,1,PCS
305050191,SMD Transistor Array 2PNP 45V-0.1A;SOT36,Diodes Incorporated,BCM857BS-7-F,,Q23 Q24,2,1,PCS
305010033,SMD Transistor NPN 50V-500mA;SOT-323,长电,BC817W-25W,,Q11,1,1,PCS
304020024,SMD Diode Schottky 30V-1A;DO-214AC,Diodes,B130L-13-F,,D24 D28,2,1,PCS
310031388,SMD IC PMIC;	 IC VREF SHUNT ADJ;SOT23-3,TI,ATL431AIDBZR,,U10,1,1,PCS
317060602,"SMD WIFI Module ;1T1R 802.11 a/ b/g/n Wi-Fi + BT 5.2;SDIO,UART/PCM;12*12*1.7mm",Ampak,AP6203BM,,U2,1,1,PCS
310031691,SMD IC PMIC;LDO-1.8V-600mA;SOT23-5,Diodes,AP2112K-1.8TRG1,,U21,1,1,PCS
